the_geom,latlong,lat,long,deaths,cartodb_id,created_at,updated_at
0101000020E6100000BDE3141DC9852540F8A8BF5E615F4140,"34.745159, 10.7613",34.745159,10.7613,239,134,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000C49448A2977F434038F8C264AA664140,"34.802075, 38.996815",34.802075,38.996815,7,135,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000009A99999999992E40CDCCCCCCCC0C4240,"36.1, 15.3",36.1,15.3,45,212,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000001EFCC401F4CD404026C5C727646F4140,"34.870244, 33.609009",34.870244,33.609009,1,136,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000000000000000002E403333333333734140,"34.9, 15",34.9,15,1,137,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000213D450E11D140404529215855754140,"34.916667, 33.633333",34.916667,33.633333,1,138,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000000000000000002E400000000000804140,"35, 15",35,15,4,139,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000003333333333332E400000000000804140,"35, 15.1",35,15.1,400,140,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000006666666666662F400000000000804140,"35, 15.7",35,15.7,75,141,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000000000000000030400000000000804140,"35, 16",35,16,2,142,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000A7CEA3E2FF0E1EC09E5DBEF561814140,"35.010802, -7.514648",35.010802,-7.514648,117,143,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000009A9999999999FDBFCDCCCCCCCC8C4140,"35.1, -1.85",35.1,-1.85,7,144,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000052B81E85EBD12C40AE47E17A148E4140,"35.11, 14.41",35.11,14.41,5,145,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000001572A59E05B7404006651A4D2E904140,"35.126413, 33.429859",35.126413,33.429859,40,146,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000007638BA4A777707C04529215855954140,"35.166667, -2.933333",35.166667,-2.933333,14,147,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
